Pokedex_Number,Name,Type,Ability,Hp,Attack,Defense,Sp. Attack,Sp. Defense,Speed
#00906,Sprigatito,Grass,Overgrow Protean,40,61,54,45,45,65
#00907,Floragato,Grass,Overgrow Protean,61,80,63,60,63,83
#00908,Meowscarada,"Grass, Dark",Overgrow Protean,76,110,70,81,70,123
#00909,Fuecoco,Fire,Blaze Unaware,67,45,59,63,40,36
#00910,Crocalor,Fire,Blaze Unaware,81,55,78,90,58,49
#00911,Skeledirge,"Fire, Ghost",Blaze Unaware,104,75,100,110,75,66
#00912,Quaxly,Water,Torrent Moxie,55,65,45,50,45,50
#00913,Quaxwell,Water,Torrent Moxie,70,85,65,65,60,65
#00914,Quaquaval,"Water, Fighting",Torrent Moxie,85,120,80,85,75,85
#00915,Lechonk,Normal,Aroma Veil Gluttony Thick Fat,54,45,40,35,45,35
#00916,Oinkologne,Normal,Lingering Aroma Gluttony Thick Fat,110,100,75,59,80,65
#00917,Tarountula,Bug,Insomnia Stakeout,35,41,45,29,40,20
#00918,Spidops,Bug,Insomnia Stakeout,60,79,92,52,86,35
#00919,Nymble,Bug,Swarm Tinted Lens,33,46,40,21,25,45
#00920,Lokix,"Bug, Dark",Swarm Tinted Lens,71,102,78,52,55,92
#00921,Pawmi,Electric,Static Natural Cure Iron Fist,45,50,20,40,25,60
#00922,Pawmo,"Electric, Fighting",Volt Absorb Natural Cure Iron Fist,60,75,40,50,40,85
#00923,Pawmot,"Electric, Fighting",Volt Absorb Natural Cure Iron Fist,70,115,70,70,60,105
#00924,Tandemaus,Normal,Run Away Pickup Own Tempo,50,50,45,40,45,75
#00925,Maushold,Normal,Friend Guard Cheek Pouch Technician,74,75,70,65,75,111
#00926,Fidough,Fairy,Own Tempo Klutz,37,55,70,30,55,65
#00927,Dachsbun,Fairy,Well-Baked Body Aroma Veil,57,80,115,50,80,95
#00928,Smoliv,"Grass, Normal",Early Bird Harvest,41,35,45,58,51,30
#00929,Dolliv,"Grass, Normal",Early Bird Harvest,52,53,60,78,78,33
#00930,Arboliva,"Grass, Normal",Seed Sower Harvest,78,69,90,125,109,39
#00931,Squawkabilly,"Normal, Flying",Intimidate Hustle Guts,82,96,51,45,51,92
#00932,Nacli,Rock,Purifying Salt Sturdy Clear Body,55,55,75,35,35,25
#00933,Naclstack,Rock,Purifying Salt Sturdy Clear Body,60,60,100,35,65,35
#00934,Garganacl,Rock,Purifying Salt Sturdy Clear Body,100,100,130,45,90,35
#00935,Charcadet,Fire,Flash Fire Flame Body,40,50,40,50,40,35
#00936,Armarouge,"Fire, Psychic",Flash Fire Weak Armor,85,60,100,125,80,75
#00937,Ceruledge,"Fire, Ghost",Flash Fire Weak Armor,75,125,80,60,100,85
#00938,Tadbulb,Electric,Own Tempo Static Damp,61,31,41,59,35,45
#00939,Bellibolt,Electric,Electromorphosis Static Damp,109,64,91,103,83,45
#00940,Wattrel,"Electric, Flying",Wind Power Volt Absorb Competitive,40,40,35,55,40,70
#00941,Kilowattrel,"Electric, Flying",Wind Power Volt Absorb Competitive,70,70,60,105,60,125
#00942,Maschiff,Dark,Intimidate Run Away Stakeout,60,78,60,40,51,51
#00943,Mabosstiff,Dark,Intimidate Guard Dog Stakeout,80,120,90,60,70,85
#00944,Shroodle,"Poison, Normal",Unburden Pickpocket Prankster,40,65,35,40,35,75
#00945,Grafaiai,"Poison, Normal",Unburden Poison Touch Prankster,63,95,65,80,72,110
#00946,Bramblin,"Grass, Ghost",Wind Rider Infiltrator,40,65,30,45,35,60
#00947,Brambleghast,"Grass, Ghost",Wind Rider Infiltrator,55,115,70,80,70,90
#00948,Toedscool,"Ground, Grass",Mycelium Might,40,40,35,50,100,70
#00949,Toedscruel,"Ground, Grass",Mycelium Might,80,70,65,80,120,100
#00950,Klawf,Rock,Anger Shell Shell Armor Regenerator,70,100,115,35,55,75
#00951,Capsakid,Grass,Chlorophyll Insomnia Klutz,50,62,40,62,40,50
#00952,Scovillain,"Grass, Fire",Chlorophyll Insomnia Moody,65,108,65,108,65,75
#00953,Rellor,Bug,Compoundeyes Shed Skin,41,50,60,31,58,30
#00954,Rabsca,"Bug, Psychic",Synchronize Telepathy,75,50,85,115,100,45
#00955,Flittle,Psychic,Anticipation Frisk Speed Boost,30,35,30,55,30,75
#00956,Espathra,Psychic,Opportunist Frisk Speed Boost,95,60,60,101,60,105
#00957,Tinkatink,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,50,45,45,35,64,58
#00958,Tinkatuff,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,65,55,55,45,82,78
#00959,Tinkaton,"Fairy, Steel",Mold Breaker Own Tempo Pickpocket,85,75,77,70,105,94
#00960,Wiglett,Water,Gooey Rattled Sand Veil,10,55,25,35,25,95
#00961,Wugtrio,Water,Gooey Rattled Sand Veil,35,100,50,50,70,120
#00962,Bombirdier,"Flying, Dark",Big Pecks Keen Eye Rocky Payload,70,103,85,60,85,82
#00963,Finizen,Water,Water Veil,70,45,40,45,40,75
#00964,Palafin,Water,Zero to Hero,100,70,72,53,62,100
#00965,Varoom,"Steel, Poison",Overcoat Slow Start,45,70,63,30,45,47
#00966,Revavroom,"Steel, Poison",Overcoat Filter,80,119,90,54,67,90
#00967,Cyclizar,"Dragon, Normal",Shed Skin Regenerator,70,95,65,85,65,121
#00968,Orthworm,Steel,Earth Eater Sand Veil,70,85,145,60,55,65
#00969,Glimmet,"Rock, Poison",Toxic Debris Corrosion,48,35,42,105,60,60
#00970,Glimmora,"Rock, Poison",Toxic Debris Corrosion,83,55,90,130,81,86
#00971,Greavard,Ghost,Pickup Fluffy,50,61,60,30,55,34
#00972,Houndstone,Ghost,Sand Rush Fluffy,72,101,100,50,97,68
#00973,Flamigo,"Flying, Fighting",Scrappy Tangled Feet Costar,82,115,74,75,64,90
#00974,Cetoddle,Ice,Thick Fat Snow Cloak Sheer Force,108,68,45,30,40,43
#00975,Cetitan,Ice,Thick Fat Slush Rush Sheer Force,170,113,65,45,55,73
#00976,Veluza,"Water, Psychic",Mold Breaker Sharpness,90,102,73,78,65,70
#00977,Dondozo,Water,Unaware Oblivious Water Veil,150,100,115,65,65,35
#00978,Tatsugiri,"Dragon, Water",Commander Storm Drain,68,50,60,120,95,82
#00979,Annihilape,"Fighting, Ghost",Vital Spirit Inner Focus Defiant,110,115,80,50,90,90
#00980,Clodsire,"Poison, Ground",Poison Point Water Absorb Unaware,130,75,60,45,100,20
#00981,Farigiraf,"Normal, Psychic",Cud Chew Armor Tail Sap Sipper,120,90,70,110,70,60
#00982,Dudunsparce,Normal,Serene Grace Run Away Rattled,125,100,80,85,75,55
#00983,Kingambit,"Dark, Steel",Defiant Supreme Overlord Pressure,100,135,120,60,85,50
#00984,Great Tusk,"Ground, Fighting",Protosynthesis,115,131,131,53,53,87
#00985,Scream Tail,"Fairy, Psychic",Protosynthesis,115,65,99,65,115,111
#00986,Brute Bonnet,"Grass, Dark",Protosynthesis,111,127,99,79,99,55
#00987,Flutter Mane,"Ghost, Fairy",Protosynthesis,55,55,55,135,135,135
#00988,Slither Wing,"Bug, Fighting",Protosynthesis,85,135,79,85,105,81
#00989,Sandy Shocks,"Electric, Ground",Protosynthesis,85,81,97,121,85,101
#00990,Iron Treads,"Ground, Steel",Quark Drive,90,112,120,72,70,106
#00991,Iron Bundle,"Ice, Water",Quark Drive,56,80,114,124,60,136
#00992,Iron Hands,"Fighting, Electric",Quark Drive,154,140,108,50,68,50
#00993,Iron Jugulis,"Dark, Flying",Quark Drive,94,80,86,122,80,108
#00994,Iron Moth,"Fire, Poison",Quark Drive,80,70,60,140,110,110
#00995,Iron Thorns,"Rock, Electric",Quark Drive,100,134,110,70,84,72
#00996,Frigibax,"Dragon, Ice",Thermal Exchange Ice Body,65,75,45,35,45,55
#00997,Arctibax,"Dragon, Ice",Thermal Exchange Ice Body,90,95,66,45,65,62
#00998,Baxcalibur,"Dragon, Ice",Thermal Exchange Ice Body,115,145,92,75,86,87
#00999,Gimmighoul,Ghost,Rattled,45,30,70,75,70,10
#1000,Gholdengo,"Steel, Ghost",Good as Gold,87,60,95,133,91,84
#1001,Wo-Chien,"Dark, Grass",Tablets of Ruin,85,85,100,95,135,70
#1002,Chien-Pao,"Dark, Ice",Sword of Ruin,80,120,80,90,65,135
#1003,Ting-Lu,"Dark, Ground",Vessel of Ruin,155,110,125,55,80,45
#1004,Chi-Yu,"Dark, Fire",Beads of Ruin,55,80,80,135,120,100
#1005,Roaring Moon,"Dragon, Dark",Protosynthesis,105,139,71,55,101,119
#1006,Iron Valiant,"Fairy, Fighting",Quark Drive,74,130,90,120,60,116
#1007,Koraidon,"Fighting, Dragon",Orichalcum Pulse,100,135,115,85,100,135
#1008,Miraidon,"Electric, Dragon",Hadron Engine,100,85,100,135,115,135
#1009,Walking Wake,"Water, Dragon",Protosynthesis,99,83,91,125,83,109
#1010,Iron Leaves,"Grass, Psychic",Quark Drive,90,130,88,70,108,104
